KB,implement,problem,colpack,indirect,optimize,setup,reverse,onepass,correct,n,m,nnz,sec
11146,adolc,dficfj,true,false,false,true,true,true,true,320,320,2467,0.0043370072
7112,adolc,dficfj,true,false,false,true,false,true,true,320,320,2467,0.0037080894
11319,adolc,dficfj,true,false,false,false,true,true,true,320,320,2467,0.0007641301
7406,adolc,dficfj,true,false,false,false,false,true,true,320,320,2467,0.0004323729
12205,adolc,dierfj,true,false,false,true,true,true,true,303,303,3160,0.0030889606
7131,adolc,dierfj,true,false,false,true,false,true,true,303,303,3160,0.0023560871
13674,adolc,dierfj,true,false,false,false,true,true,true,303,303,3160,0.0008929737
7689,adolc,dierfj,true,false,false,false,false,true,true,303,303,3160,0.0002606567
10973,adolc,deptfg,true,true,false,true,false,false,true,36,1,121,0.0009384975
10966,adolc,deptfg,true,false,false,true,false,false,true,36,1,121,0.0009735210
10945,adolc,deptfg,true,true,false,false,false,false,true,36,1,121,0.0003883626
11037,adolc,deptfg,true,false,false,false,false,false,true,36,1,121,0.0004301436
12048,adolc,dgl1fg,true,true,false,true,false,false,true,500,1,1000,0.0164078552
12057,adolc,dgl1fg,true,false,false,true,false,false,true,500,1,1000,0.0167042729
11524,adolc,dgl1fg,true,true,false,false,false,false,true,500,1,1000,0.0037660976
11511,adolc,dgl1fg,true,false,false,false,false,false,true,500,1,1000,0.0038274901
1502,cppad,dficfj,true,false,true,true,true,false,true,320,320,2467,0.0050553114
1465,cppad,dficfj,false,false,true,true,true,false,true,320,320,2467,0.0050718973
1617,cppad,dficfj,true,false,false,true,true,false,true,320,320,2467,0.0036942985
1559,cppad,dficfj,false,false,false,true,true,false,true,320,320,2467,0.0034884065
1787,cppad,dficfj,true,false,true,true,false,true,true,320,320,2467,0.0032448293
1706,cppad,dficfj,false,false,true,true,false,true,true,320,320,2467,0.0032710591
2204,cppad,dficfj,true,false,false,true,false,true,true,320,320,2467,0.0014803633
2057,cppad,dficfj,false,false,false,true,false,true,true,320,320,2467,0.0012452316
1448,cppad,dficfj,true,false,true,true,false,false,true,320,320,2467,0.0038841030
1485,cppad,dficfj,false,false,true,true,false,false,true,320,320,2467,0.0038782960
1581,cppad,dficfj,true,false,false,true,false,false,true,320,320,2467,0.0024802921
1624,cppad,dficfj,false,false,false,true,false,false,true,320,320,2467,0.0022546652
1618,cppad,dficfj,true,false,true,false,true,false,true,320,320,2467,0.0026415997
1613,cppad,dficfj,false,false,true,false,true,false,true,320,320,2467,0.0025884379
1624,cppad,dficfj,true,false,false,false,true,false,true,320,320,2467,0.0025964599
1627,cppad,dficfj,false,false,false,false,true,false,true,320,320,2467,0.0025980062
2356,cppad,dficfj,true,false,true,false,false,true,true,320,320,2467,0.0003576759
2263,cppad,dficfj,false,false,true,false,false,true,true,320,320,2467,0.0003771298
2348,cppad,dficfj,true,false,false,false,false,true,true,320,320,2467,0.0003604527
2382,cppad,dficfj,false,false,false,false,false,true,true,320,320,2467,0.0003622589
1556,cppad,dficfj,true,false,true,false,false,false,true,320,320,2467,0.0013559893
1558,cppad,dficfj,false,false,true,false,false,false,true,320,320,2467,0.0013402035
1560,cppad,dficfj,true,false,false,false,false,false,true,320,320,2467,0.0013237154
1558,cppad,dficfj,false,false,false,false,false,false,true,320,320,2467,0.0013322761
1011,cppad,dierfj,true,false,true,true,true,false,true,303,303,3160,0.0132375629
1016,cppad,dierfj,false,false,true,true,true,false,true,303,303,3160,0.0129629037
1011,cppad,dierfj,true,false,false,true,true,false,true,303,303,3160,0.0114584348
1053,cppad,dierfj,false,false,false,true,true,false,true,303,303,3160,0.0122553294
1340,cppad,dierfj,true,false,true,true,false,true,true,303,303,3160,0.0024219862
1381,cppad,dierfj,false,false,true,true,false,true,true,303,303,3160,0.0014815514
1472,cppad,dierfj,true,false,false,true,false,true,true,303,303,3160,0.0013491998
1500,cppad,dierfj,false,false,false,true,false,true,true,303,303,3160,0.0008779569
991,cppad,dierfj,true,false,true,true,false,false,true,303,303,3160,0.0028653625
970,cppad,dierfj,false,false,true,true,false,false,true,303,303,3160,0.0025048525
977,cppad,dierfj,true,false,false,true,false,false,true,303,303,3160,0.0025745906
993,cppad,dierfj,false,false,false,true,false,false,true,303,303,3160,0.0019894626
970,cppad,dierfj,true,false,true,false,true,false,true,303,303,3160,0.0107631490
940,cppad,dierfj,false,false,true,false,true,false,true,303,303,3160,0.0112311615
943,cppad,dierfj,true,false,false,false,true,false,true,303,303,3160,0.0104126260
943,cppad,dierfj,false,false,false,false,true,false,true,303,303,3160,0.0116009561
1920,cppad,dierfj,true,false,true,false,false,true,true,303,303,3160,0.0002183097
1900,cppad,dierfj,false,false,true,false,false,true,true,303,303,3160,0.0002507689
1894,cppad,dierfj,true,false,false,false,false,true,true,303,303,3160,0.0002231636
1894,cppad,dierfj,false,false,false,false,false,true,true,303,303,3160,0.0002281571
928,cppad,dierfj,true,false,true,false,false,false,true,303,303,3160,0.0012006422
918,cppad,dierfj,false,false,true,false,false,false,true,303,303,3160,0.0012409439
909,cppad,dierfj,true,false,false,false,false,false,true,303,303,3160,0.0012430057
922,cppad,dierfj,false,false,false,false,false,false,true,303,303,3160,0.0011739995
200,cppad,deptfg,true,false,true,true,true,false,true,36,1,96,0.0005142225
168,cppad,deptfg,false,false,true,true,true,false,true,36,1,96,0.0004996773
155,cppad,deptfg,true,false,false,true,true,false,true,36,1,96,0.0004379775
156,cppad,deptfg,false,false,false,true,true,false,true,36,1,96,0.0004629854
186,cppad,deptfg,true,false,true,true,false,false,true,36,1,96,0.0005102585
208,cppad,deptfg,false,false,true,true,false,false,true,36,1,96,0.0005064515
159,cppad,deptfg,true,false,false,true,false,false,true,36,1,96,0.0004714986
160,cppad,deptfg,false,false,false,true,false,false,true,36,1,96,0.0004989062
142,cppad,deptfg,true,false,true,false,true,false,true,36,1,96,0.0002056791
143,cppad,deptfg,false,false,true,false,true,false,true,36,1,96,0.0002262146
140,cppad,deptfg,true,false,false,false,true,false,true,36,1,96,0.0002764870
131,cppad,deptfg,false,false,false,false,true,false,true,36,1,96,0.0002940244
144,cppad,deptfg,true,false,true,false,false,false,true,36,1,96,0.0002568085
144,cppad,deptfg,false,false,true,false,false,false,true,36,1,96,0.0002060195
146,cppad,deptfg,true,false,false,false,false,false,true,36,1,96,0.0003260061
144,cppad,deptfg,false,false,false,false,false,false,true,36,1,96,0.0002757148
974,cppad,dgl1fg,true,false,true,true,true,false,true,500,1,1000,0.0062610633
1213,cppad,dgl1fg,false,false,true,true,true,false,true,500,1,1000,0.0106921164
2130,cppad,dgl1fg,true,false,false,true,true,false,true,500,1,1000,0.0052167132
1255,cppad,dgl1fg,false,false,false,true,true,false,true,500,1,1000,0.0088367494
1224,cppad,dgl1fg,true,false,true,true,false,false,true,500,1,1000,0.0062937829
1365,cppad,dgl1fg,false,false,true,true,false,false,true,500,1,1000,0.0099347695
1198,cppad,dgl1fg,true,false,false,true,false,false,true,500,1,1000,0.0053036009
1384,cppad,dgl1fg,false,false,false,true,false,false,true,500,1,1000,0.0090605279
970,cppad,dgl1fg,true,false,true,false,true,false,true,500,1,1000,0.0016480272
917,cppad,dgl1fg,false,false,true,false,true,false,true,500,1,1000,0.0021474071
990,cppad,dgl1fg,true,false,false,false,true,false,true,500,1,1000,0.0024642721
1134,cppad,dgl1fg,false,false,false,false,true,false,true,500,1,1000,0.0030049284
831,cppad,dgl1fg,true,false,true,false,false,false,true,500,1,1000,0.0020437168
1038,cppad,dgl1fg,false,false,true,false,false,false,true,500,1,1000,0.0022105391
1192,cppad,dgl1fg,true,false,false,false,false,false,true,500,1,1000,0.0022715916
1109,cppad,dgl1fg,false,false,false,false,false,false,true,500,1,1000,0.0030732722
1098,subgraph,dficfj,false,false,true,true,true,false,true,320,320,2467,0.0041748214
959,subgraph,dficfj,false,false,false,true,true,false,true,320,320,2467,0.0024796211
917,subgraph,dficfj,false,false,true,false,true,false,true,320,320,2467,0.0014812265
917,subgraph,dficfj,false,false,false,false,true,false,true,320,320,2467,0.0014483553
639,subgraph,dierfj,false,false,true,true,true,false,true,303,303,3160,0.0020116360
642,subgraph,dierfj,false,false,false,true,true,false,true,303,303,3160,0.0014669139
610,subgraph,dierfj,false,false,true,false,true,false,true,303,303,3160,0.0009255637
625,subgraph,dierfj,false,false,false,false,true,false,true,303,303,3160,0.0008911860
247,subgraph,deptfg,false,false,true,true,true,false,true,36,1,96,0.0005638145
265,subgraph,deptfg,false,false,false,true,true,false,true,36,1,96,0.0004893577
142,subgraph,deptfg,false,false,true,false,true,false,true,36,1,96,0.0001082888
225,subgraph,deptfg,false,false,false,false,true,false,true,36,1,96,0.0002652201
1997,subgraph,dgl1fg,false,false,true,true,true,false,true,500,1,1000,0.0089089500
3469,subgraph,dgl1fg,false,false,false,true,true,false,true,500,1,1000,0.0092283954
1270,subgraph,dgl1fg,false,false,true,false,true,false,true,500,1,1000,0.0023386873
2876,subgraph,dgl1fg,false,false,false,false,true,false,true,500,1,1000,0.0048910472
